ID	Start time	Completion time	Email	Name	Gender	Level/Year	Age	Your cumulative average (GPA)	Before COVID-19: Which of the following digital tools do you usually use?	After COVID-19: Which of the following digital tools do you usually use?	Before COVID-19: How much time do you spend using the digital tools in learning?	After COVID-19: How much time do you spend using the digital tools in learning?	Before COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.	After COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.	Before COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.	After COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.	Before COVID-19: I have fixed hours for bedtime and wake-up. 	After COVID-19: I have fixed hours for bedtime and wake-up. 	Before COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.	After COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.	Before COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting	After COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting	The distance learning system, caused by the COVID-19 epidemic, resulted in social distancing.	Prolonged use of digital tools (mobile, laptop, i-pad) causes students’ isolation 	University learning contributes to strengthening the social personality of students.	Staying home for long periods of time leads to lethargy and laziness.	Prolonged use of e-learning tools often leads to boredom, nervousness, and tension.	The psychological element is a key factor in the success of the educational process.	Some students cannot afford buying all necessary digital tools, which is embarrassing and frustrating.	I don’t recommend continuing with the online learning model because it is socially and psychologically unhealthy.	Measures of lockdown, closures, and quarantine, brought by COVID-19 caused stress, frustration, and depression.	Use of digital learning tools is responsible for my low academic performance.	The volume of assignments via e-learning led to confusion, frustration and poor performance. 	Face-to-face interaction contributes significantly to boosting students’ academic achievement.	Taking quizzes and exams online from home was not comfortable and made me nervous.	Stress
1	6-12-20 19:30:33	6-12-20 19:34:57	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Mobile phone	Laptop	6-9	9-12	Uncertain	Agree	Strongly Agree	Strongly Agree	Agree	Disagree	Agree	Agree	Agree	Strongly Agree	"Agree	"	"Agree	"	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Agree	Strongly Agree	Agree	Strongly Agree	1
2	6-12-20 19:29:44	6-12-20 19:35:19	anonymous		Male	Other	+30	+90 / +3.5	Laptop	Laptop	1-3 	3-6	Agree	Strongly Agree	Disagree	Disagree	Agree	Disagree	Uncertain	Agree	Disagree	Disagree	"Agree	"	"Uncertain	"	Disagree	"Uncertain	"	Disagree	Strongly Agree	Agree	Disagree	Uncertain	Uncertain	Disagree	Uncertain	Disagree	0
3	6-12-20 19:37:19	6-12-20 19:40:17	anonymous		Female	First/Freshman	18-24	+90 / +3.5	Other	Mobile phone	1-3 	3-6	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
4	6-12-20 19:37:18	6-12-20 19:40:27	anonymous		Male	Second/ Sophomore	18-24	70-79 / 2.5-299	Laptop	Laptop	6-9	1-3 	Uncertain	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	"Uncertain	"	Strongly Disagree	Strongly Agree	Agree	Strongly Agree	Uncertain	Agree	Agree	Strongly Agree	Agree	Uncertain	1
5	6-12-20 19:37:25	6-12-20 19:41:49	anonymous		Male	Third/Junior	18-24	70-79 / 2.5-299	Laptop	Laptop	1-3 	1-3 	Agree	Agree	Disagree	Disagree	Disagree	Disagree	Disagree	Disagree	Disagree	Disagree	"Agree	"	Disagree	Strongly Agree	"Uncertain	"	Disagree	Agree	Agree	Disagree	Disagree	Agree	Agree	Strongly Agree	Disagree	0
6	6-12-20 19:37:55	6-12-20 19:42:26	anonymous		Female	Second/ Sophomore	18-24	70-79 / 2.5-299	Mobile phone	Laptop	1-3 	3-6	Uncertain	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Disagree	Uncertain	Strongly Agree	Uncertain	Strongly Agree	"Uncertain	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
7	6-12-20 19:41:23	6-12-20 19:44:44	anonymous		Female	Third/Junior	18-24	70-79 / 2.5-299	Laptop	Laptop	1-3 	9-12	Disagree	Agree	Agree	Uncertain	Disagree	Disagree	Agree	Strongly Agree	Agree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Disagree	1
8	6-12-20 19:30:22	6-12-20 19:44:49	anonymous		Male	First/Freshman	25-30	80-89 / 3-3.49	Laptop	Laptop	3-6	3-6	Agree	Agree	Strongly Disagree	Strongly Disagree	Disagree	Disagree	Uncertain	Uncertain	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Agree	Strongly Agree	Agree	Agree	Agree	Disagree	Strongly Agree	Agree	1
9	6-12-20 19:42:13	6-12-20 19:45:58	anonymous		Female	Second/ Sophomore	18-24	+90 / +3.5	Laptop	Laptop	3-6	3-6	Agree	Agree	Disagree	Disagree	Uncertain	Uncertain	Agree	Agree	Uncertain	Agree	"Agree	"	"Agree	"	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Uncertain	1
10	6-12-20 19:39:45	6-12-20 19:46:10	anonymous		Female	First/Freshman	18-24	70-79 / 2.5-299	Other	Other	1-3 	6-9	Strongly Disagree	Strongly Agree	Uncertain	Disagree	Agree	Strongly Disagree	Agree	Strongly Agree	Uncertain	Strongly Agree	"Uncertain	"	"Agree	"	"Agree	"	"Uncertain	"	Agree	Strongly Agree	Strongly Agree	Uncertain	Uncertain	Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
11	6-12-20 19:43:25	6-12-20 19:46:11	anonymous		Female	Second/ Sophomore	18-24	+90 / +3.5	Laptop	Mobile phone	3-6	9-12	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Agree	Uncertain	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Disagree	Disagree	Uncertain	Disagree	Disagree	Uncertain	Agree	Strongly Disagree	Disagree	0
12	6-12-20 19:43:30	6-12-20 19:47:14	anonymous		Female	Fourth/Senior	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	3-6	Agree	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Agree	Strongly Agree	Uncertain	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	"Uncertain	"	"Agree	"	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Uncertain	Uncertain	Agree	Strongly Agree	1
13	6-12-20 19:45:23	6-12-20 19:48:09	anonymous		Female	First/Freshman	18-24	+90 / +3.5	Laptop	Laptop	1-3 	3-6	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
14	6-12-20 19:44:21	6-12-20 19:48:55	anonymous		Female	Third/Junior	18-24	80-89 / 3-3.49	Mobile phone	Laptop	3-6	3-6	Uncertain	Strongly Agree	Agree	Disagree	Strongly Agree	Strongly Disagree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Strongly Agree	Uncertain	Strongly Agree	Agree	Uncertain	1
15	6-12-20 19:46:28	6-12-20 19:49:13	anonymous		Female	Second/ Sophomore	18-24	+90 / +3.5	Mobile phone	Laptop	3-6	6-9	Agree	Strongly Agree	Uncertain	Agree	Agree	Agree	Agree	Strongly Agree	Agree	Strongly Agree	"Agree	"	"Agree	"	"Agree	"	"Agree	"	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Agree	1
16	6-12-20 19:45:55	6-12-20 19:51:08	anonymous		Male	Second/ Sophomore	18-24	80-89 / 3-3.49	Other	Mobile phone	1-3 	3-6	Uncertain	Agree	Agree	Agree	Disagree	Disagree	Strongly Agree	Agree	Agree	Agree	"Agree	"	"Agree	"	"Agree	"	"Uncertain	"	Agree	Agree	Agree	Agree	Agree	Agree	Uncertain	Agree	Agree	1
17	6-12-20 19:47:56	6-12-20 19:52:49	anonymous		Female	Third/Junior	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	3-6	Agree	Strongly Agree	Disagree	Disagree	Agree	Agree	Uncertain	Uncertain	Agree	Agree	Disagree	"Agree	"	Strongly Agree	"Agree	"	Strongly Agree	Agree	Agree	Uncertain	Agree	Agree	Agree	Agree	Uncertain	1
